,Name,Rating,Stars,First Ascent,Type,Length (ft),Pitches
129,Early Bird Arete,5.8,2.7,Jason Stevens,Sport,70,1
130,Your Little Sister,5.9+,2,Jeff Pedersen,Sport,40,1
131,Canned Beaver,5.7,2.2,Jason Stevens,Sport,75,1
132,Celsa Vaca,5.8-,2,Jason Stevens,Sport,50,1
133,Burlap Kitty,5.10c,2.3,Jason Stevens,Sport,20,1
134,Heathen,5.11b,3.4,Jeff Baldwin,Sport,100,1
135,Beekeeper,5.10d,2.7,Mike Call,Sport,100,1
136,Sprayple,5.10c,2.5,Glenn Ritter / Joi Matsukawa 2017,Sport,50,1
137,Plumbers Crack,5.11a,2.1,Jason Stevens,Sport,30,1
138,Morning Moo's,5.10a,2.6,Jason Stevens,Sport,75,1
139,Fruit Jets,5.9-,2.3,Jason Stevens,Sport,40,1
140,Whiskey on the Southbound,5.12a,2.7,Dan Snyder,Sport,-,1
141,Massengile the Moose,5.8,1.9,Jason Stevens,Sport,40,1
142,Butter that Bacon,5.6,2.5,Tyler Phillips,Sport,60,1
143,Worm Hole Boodie,5.10c,2.4,Jason Stevens,Sport,40,1
144,Bowling Ball Head,5.7,2,Jason Stevens,Sport,80,1
145,DuffMan is Thrusting Yes,5.10a,2.3,Tyler Phillips & Robbie Colbert,Sport,70,1
146,Guard Boy,5.10a,1.4,Jason Stevens,Sport,60,1
147,Eagle Tenders,5.9,2.5,Matt Selman,Sport,70,1
148,Dang Awesome,5.10d,2.5,Julie Merwin,Sport,-,1
149,King Kong,5.10d,2.9,Darren Knezek,Sport,300,4
150,When Cobbles Fly,5.12a,2.8,Tim Roberts,Sport,100,1
151,Slamfire,5.9,3.1,Jason Stevens,Sport,300,4
152,Gordon,5.11a,2.6,Glenn Ritter / Joi Matsukawa May,Sport,45,1
153,I Don't Want a Pickle,5.10a,2.2,Dan Snyder,Sport,40,1
154,Meconium 23,5.9,2.2,unknown,Sport,50,1
155,Fun with Flanders,5.8,2.3,Jason Stevens,Sport,60,1
156,Michael Fitzpatrick,5.10a,2.3,Noah Stevens,Sport,30,1
157,Crescent Moon,5.12a,2.3,Chris Black,Sport,40,1
158,I Say Ouday,5.8,2.6,Jason Stevens,Sport,60,1
159,Man Muncher,5.8,2.8,Bill Boyle,Sport,60,1
160,Spray,5.10a,1.8,Brian Team,Sport,40,1
161,Pump Action Hero,5.11a,2.9,D. Knezek,Sport,70,1
162,Warm & Soapy Lather,5.9,2.5,Jason Stevens and Jared Nielson,Sport,50,1
163,Sugar House,5.10c,2.6,Glenn Ritter / Joi Matsukawa  2017,Sport,60,1
164,Once You Go Black,5.11b/c,3.3,Glenn Ritter and Joi Matsukawa  2017,Sport,65,1
165,El Rito Simulator,5.10c,3.1,Jason Halladay,Sport,65,1
166,The Lost Letter,5.11b,2.8,unknown,Sport,50,1
167,Project Mayhem,5.9,2.7,Jason Stevens and Jared Nielson,Sport,50,1
168,Armadillo Waffles,5.8+,2.1,Jason Stevens,Sport,40,1
169,Marble Slate,5.7,2,unknown,Sport,50,1
170,Grease Bunny,5.7,1.6,Jason Stevens,Sport,40,1
171,EIS,5.10b/c,1.9,unknown,Sport,40,1
172,Neptune Cocktail,5.11d,2.5,D. Knezek,Sport,-,1
173,Splatterhorn,5.10c,4,Darren and Jennifer Knezek,Sport,115,1
174,Maple Sunday,5.11a,2.4,Glenn Ritter / Joi Matsukawa  2017,Sport,50,1
175,Never Go Left,5.12a/b,2.8,unknown,Sport,-,1
176,The Quickie Mart,5.10b,1.8,Tyler Phillips & Robbie Colbert,Sport,60,1
177,Justice,5.6,2.5,Glenn Ritter,Sport,75,1
178,Toscano,5.10c,2.5,Glenn Ritter,Sport,-,1
179,The Emancipation of Dissonance,5.11c,3,Jason Stevens,Sport,55,1
180,Unknown,5.9,2.5,Jason Stevens,Sport,60,1
181,Right Hand Rosie,5.10b/c,2,Jason Stevens,Sport,50,1
182,Too Drunk to Dream,5.12a,2.6,Dan Snyder,Sport,-,1
183,[Redacted],5.9,2.4,Brent Huff and Jared Nielson,Sport,40,1
184,Fist Full of Cobbles,5.10a,2.6,Greg Miller,Sport,120,1
185,Roach On Rye,5.8,2.1,Jason Stevens,Sport,40,1
186,Mindy,5.11d,2.8,Glenn Ritter / Joi Matsukawa  May,Sport,60,1
187,My Best Friends Harem,5.7,2.1,Jason Stevens,Sport,100,1
188,Crap-O,5.11d,2.2,Chris Black,Sport,-,1
189,Lombard Street,5.10a/b,2.3,Glenn Ritter,Sport,-,1
190,Skeet Shoot,5.11a,2.2,Bill Ohran,Sport,40,1
191,Knezek's Call,5.11b,2.6,Perin Blanchard,Sport,100,1
192,Teacher Has A Horn,5.10a/b,2.6,Jason Stevens,Sport,-,1
193,Fast Times at Wolverine High,5.9,2.1,Jason Stevens,Sport,55,1
194,Choss Rocket,5.12a,2.9,Vince Adams,Sport,-,1
195,Whiskey Lounge,5.9,1.9,Jason Stevens,Sport,45,1
196,Take it for the Team,5.11d,2.6,unknown,Sport,65,1
197,Willy on a Stick,5.10d,2.5,Dan Snyder,Sport,110,1
198,Gimme Shelter,5.11a,2.8,Greg Miller,Sport,120,1
199,Sodomizing Satan,5.11d,2.5,Jared Nielson,Sport,40,1
